img_path,true_label,yolo_pred,yolo_probs,convnext_pred,convnext_probs,vit_pred,vit_probs
/kaggle/input/mosquito-data/train_images/b0f7cc74-2272-4756-a387-38bcaf6965c8.jpeg,albopictus,albopictus,"[2.502897888945199e-09, 1.0, 1.3906417521431652e-15, 8.740413254271218e-11, 4.224165905952759e-09, 8.645890670067047e-10]",albopictus,"[1.4563835293301963e-06, 0.9999933242797852, 3.0996309874353756e-07, 7.313099672501266e-07, 6.250866704249347e-07, 3.534861662046751e-06]",albopictus,"[8.946862095626784e-08, 0.9999998807907104, 3.9735228440918036e-09, 3.398023196155009e-08, 1.6845611128246674e-08, 1.3559186662348566e-08]"
/kaggle/input/mosquito-data/train_images/707723f2-5391-4b44-9255-199233b2c798.jpeg,culiseta,culiseta,"[2.635179541243815e-08, 0.0007450819248333573, 2.4591282447319028e-14, 2.9242814889585134e-06, 0.9992520213127136, 3.686797256374774e-10]",culiseta,"[2.004007183131762e-05, 0.00011567799811018631, 5.525379265236552e-07, 8.950955816544592e-07, 0.9998579025268555, 4.888419425697066e-06]",culiseta,"[9.208330209453663e-10, 5.660663404682964e-08, 6.263712659659859e-09, 4.090244143384325e-09, 0.9999998807907104, 9.321994287603275e-10]"
/kaggle/input/mosquito-data/train_images/87aa3106-f8cb-4d5e-b636-ee9ea9935283.jpeg,culex,culex,"[3.428582973086236e-09, 0.0010266924509778619, 4.070087379659526e-05, 0.9989101886749268, 1.9367636923561804e-05, 3.077698693232378e-06]",culex,"[5.4273245950753335e-06, 0.0001170787654700689, 0.00012655345199164003, 0.9997465014457703, 1.3993409311297e-06, 3.00090005111997e-06]",culex,"[4.312955752538983e-07, 5.161883382243104e-05, 2.081901220662985e-05, 0.9999151229858398, 1.192332183563849e-05, 8.618280844530091e-08]"
/kaggle/input/mosquito-data/train_images/fcd44271-4d8a-4727-80df-e857463a5bcb.jpeg,culex,culex,"[1.3230467388325451e-08, 1.1784059239516864e-07, 1.729623111401679e-10, 0.9999997615814209, 1.5373737483059813e-07, 8.754151181733505e-09]",culex,"[2.0144980226177722e-06, 3.42701023328118e-05, 4.435990831552772e-06, 0.9999212026596069, 5.366262030293001e-07, 3.754140925593674e-05]",culex,"[5.628419330605539e-07, 1.3262178072181996e-05, 1.682777224232268e-07, 0.9999269247055054, 5.892995250178501e-05, 9.811481760380047e-08]"
/kaggle/input/mosquito-data/train_images/1104015d-f0fa-4a65-b08d-0335d258404b.jpeg,japonicus/koreicus,albopictus,"[1.1585347436948723e-07, 0.7674252390861511, 1.6629955723601597e-07, 0.14704744517803192, 0.08465470373630524, 0.0008722575148567557]",albopictus,"[1.379236528009642e-05, 0.9730874300003052, 8.713896022527479e-06, 0.025003567337989807, 0.00019033800344914198, 0.0016961615765467286]",albopictus,"[4.822688060812652e-05, 0.9074574112892151, 6.961164672247833e-06, 0.011436467990279198, 0.003585695056244731, 0.07746510952711105]"
/kaggle/input/mosquito-data/train_images/c07e1d05-19bf-4313-a76d-eb89ccb345ef.jpeg,albopictus,albopictus,"[2.505525509288731e-10, 0.9999169111251831, 1.1920163207196355e-12, 7.44381541153416e-05, 5.66047475558662e-08, 8.659374543640297e-06]",albopictus,"[7.658874892513268e-06, 0.9999823570251465, 6.659532232333731e-07, 6.38586016066256e-06, 1.3777838603346027e-07, 2.7285911983199185e-06]",albopictus,"[2.4937207854236476e-06, 0.9999815225601196, 2.140804582495548e-07, 6.418739758373704e-06, 1.9415781480347505e-06, 7.448752057825914e-06]"
/kaggle/input/mosquito-data/train_images/929541ec-8bc8-42fc-ae8f-6f80e6290827.jpeg,culex,culex,"[1.1091947499375365e-10, 1.2955526429436759e-08, 1.6316285822437493e-10, 0.9999978542327881, 2.2030822037777398e-06, 2.8709186070119408e-11]",culex,"[1.5479788544325856e-06, 1.9918254110962152e-05, 3.038730937987566e-06, 0.999971866607666, 2.8245269731996814e-06, 8.53726248806197e-07]",culex,"[1.2861018205967412e-07, 7.059835752443178e-06, 4.94076672907795e-08, 0.9999866485595703, 6.033186764398124e-06, 4.377577411673883e-08]"
/kaggle/input/mosquito-data/train_images/db3751d3-7286-4fae-9833-82391a07db4e.jpeg,culex,culex,"[2.4082474838101053e-13, 2.2183722592217237e-07, 4.605494458020942e-11, 0.9999996423721313, 7.522596234821322e-08, 6.702476768039034e-11]",culex,"[1.0130347618542146e-06, 4.542516762739979e-05, 1.4029114026925527e-05, 0.9999377727508545, 9.524924848847149e-07, 8.064071153057739e-07]",culex,"[7.930543688416947e-08, 2.227452341685421e-06, 5.0542659835173254e-08, 0.9999973773956299, 2.6053592705466144e-07, 1.6563854288165203e-08]"
/kaggle/input/mosquito-data/train_images/52c1ed36-36c2-420b-8b0b-8574adde1534.jpeg,culex,culex,"[9.9374529438645e-11, 3.319193364603734e-09, 1.5410339671007023e-11, 0.9999983310699463, 1.6918711480684578e-06, 5.363071409192344e-08]",culex,"[2.3918141778267454e-06, 1.3047340871708002e-05, 1.5225554079734138e-06, 0.9999667406082153, 8.426841304753907e-06, 7.786206879245583e-06]",culex,"[4.7091606347748893e-07, 4.713750513474224e-06, 6.797287710469391e-07, 0.9994569420814514, 0.000537195592187345, 6.762033422091918e-08]"
/kaggle/input/mosquito-data/train_images/d6d677a7-9eba-490f-b70b-4be439347694.jpeg,albopictus,albopictus,"[2.8734967827404034e-07, 0.9998452663421631, 1.3963308287401333e-09, 0.00013213031343184412, 3.3223997775166936e-07, 2.1981035388307646e-05]",albopictus,"[4.19527968915645e-05, 0.9996869564056396, 2.6321302357246168e-05, 5.136018444318324e-05, 2.1730997104896232e-05, 0.00017173435480799526]",albopictus,"[5.748127932747593e-06, 0.9996918439865112, 1.600001610313484e-06, 0.00026190411881543696, 3.458560604485683e-05, 4.306282335164724e-06]"
/kaggle/input/mosquito-data/train_images/977f6be9-28c5-4b37-a8fb-2ba60d4f6ced.jpeg,albopictus,albopictus,"[0.00017622331506572664, 0.9996713399887085, 8.767661041630959e-10, 0.00011122377327410504, 4.129696753807366e-05, 8.926858363622614e-09]",albopictus,"[1.3768228654953418e-06, 0.9999746084213257, 7.176039389378275e-07, 1.5758541849208996e-05, 7.132064638426527e-06, 5.320506488715182e-07]",albopictus,"[2.586844175311853e-06, 0.9999889135360718, 1.0644159686989951e-07, 3.2509137781744357e-06, 5.28395730725606e-07, 4.646073193725897e-06]"
/kaggle/input/mosquito-data/train_images/3bd37a59-b519-497e-b910-af61b59224f5.jpeg,culex,culex,"[7.271028831107307e-12, 7.849986438657197e-09, 3.557723126518253e-12, 1.0, 8.650200555848642e-09, 8.494964731653454e-10]",culex,"[1.2283956039027544e-06, 4.606980292010121e-05, 1.1918191376025788e-05, 0.9999338388442993, 1.1964581290158094e-06, 5.820856131322216e-06]",culex,"[2.2395917653739161e-07, 3.79032758246467e-06, 1.8103908132616198e-06, 0.9991724491119385, 0.00082160480087623, 1.3763607853434223e-07]"
/kaggle/input/mosquito-data/train_images/6617ee6c-21ce-4417-ad12-bca15e132767.jpeg,japonicus/koreicus,culiseta,"[7.582521277527121e-08, 0.2111528515815735, 1.1905828500857751e-07, 0.011689639650285244, 0.7727411985397339, 0.004416146315634251]",japonicus/koreicus,"[0.0001470698625780642, 0.00023416749900206923, 2.3413098460878246e-05, 0.0004225908487569541, 0.002254819730296731, 0.9969179630279541]",albopictus,"[2.9713212370552355e-06, 0.9998621940612793, 1.1472037613202701e-06, 4.5793523895554245e-05, 8.184416219592094e-05, 6.136661340860883e-06]"
/kaggle/input/mosquito-data/train_images/6312e8e4-12bc-4ecb-a428-7cdaf4a82de8.jpeg,albopictus,albopictus,"[5.71316549624612e-09, 0.996096670627594, 8.188263933561757e-08, 0.0038978883530944586, 5.3244721129885875e-06, 4.421519506081495e-08]",albopictus,"[1.8700498912949115e-05, 0.9987082481384277, 2.0226607375661843e-06, 0.0012210217537358403, 4.9155631131725386e-05, 8.086604452728352e-07]",albopictus,"[0.0002212385443272069, 0.966891348361969, 2.396677155047655e-05, 0.001066403929144144, 0.030724845826625824, 0.0010721260914579034]"
/kaggle/input/mosquito-data/train_images/9b796101-5278-4d4d-80c6-45e3f8583085.jpeg,albopictus,albopictus,"[9.480008316131716e-07, 0.9998553991317749, 1.7003438657070546e-08, 0.00013171207683626562, 1.1765139973363148e-08, 1.1958640243392438e-05]",albopictus,"[9.000440854833869e-07, 0.9999876022338867, 1.6680378394084983e-06, 8.758083822613116e-06, 1.2635932478133327e-07, 9.004570529214107e-07]",albopictus,"[3.8596218132624927e-07, 0.9999964237213135, 6.258451890062133e-08, 2.9980453746247804e-06, 4.5873569831655914e-08, 6.156278686830774e-08]"
/kaggle/input/mosquito-data/train_images/36cc6134-bae3-4184-ace1-c2d0c281409c.jpeg,albopictus,albopictus,"[2.240817842391607e-08, 0.9983974099159241, 5.1702933601127654e-11, 0.0012748445151373744, 0.0003230602014809847, 4.687065029429505e-06]",albopictus,"[3.555770035745809e-06, 0.9999914169311523, 2.419281770471571e-07, 7.961198207340203e-07, 3.741263753909152e-06, 2.6135259645343467e-07]",albopictus,"[4.382148836157285e-05, 0.9987903237342834, 5.906559636059683e-06, 0.00010420448961667717, 0.0010551043087616563, 7.594069302285789e-07]"
